WD,FWHM,sig
707.106781186548,340.135109622445,28.9858118899845
565.685424949238,395.450313219931,35.2799632963182
424.264068711929,407.854548216812,72.4512579727172
989.949493661167,439.45098329307,27.0761087277311
1131.37084989848,575.021755823252,53.1044043722334
1272.79220613579,599.138074135826,51.617718695075
1414.2135623731,507.404066007043,51.8000839178343
848.528137423857,316.8788034772,28.2114805425733
777.817459305202,354.868291452515,27.0086448533333
919.238815542512,441.071722955595,28.4597570907972
1060.66017177982,455.51476607829,11.8677138397705
